CustomerID,LookalikeID,SimilarityScore
C0001,C0157,0.9924327993119081
C0001,C0051,0.9772501834980402
C0001,C0197,0.9655351182200101
C0002,C0159,0.9988681377244375
C0002,C0133,0.994309153919809
C0002,C0178,0.9844951849708404
C0003,C0170,0.9927271762054324
C0003,C0100,0.9856657658139159
C0003,C0195,0.9725122370185864
C0004,C0146,0.9983663199898147
C0004,C0119,0.9870244734726117
C0004,C0047,0.9707244462503033
C0005,C0007,0.9899494936611665
C0005,C0197,0.9838699100999074
C0005,C0127,0.9801960588196067
C0006,C0135,0.9899494936611664
C0006,C0024,0.9878291611472618
C0006,C0082,0.9798577509624609
C0007,C0127,0.9901475429766741
C0007,C0005,0.9899494936611665
C0007,C0163,0.9877629653290689
C0008,C0149,0.9847842612616292
C0008,C0031,0.9799578870122226
C0008,C0129,0.9760402784047482
C0009,C0198,0.9999999999999999
C0009,C0092,0.9982743731749959
C0009,C0040,0.9761870601839527
C0010,C0042,1.0000000000000002
C0010,C0077,0.9994801143396996
C0010,C0033,0.9805806756909202
C0011,C0027,0.9923595707022748
C0011,C0016,0.9816160794855358
C0011,C0074,0.9792938238560596
C0012,C0065,0.9889007150418574
C0012,C0116,0.9792166503011223
C0012,C0179,0.973275948453011
C0013,C0156,0.99055691785924
C0013,C0029,0.9903751369442766
C0013,C0111,0.9787003658578391
C0014,C0060,1.0
C0014,C0080,1.0
C0014,C0089,1.0
C0015,C0123,1.0
C0015,C0052,0.9965457582448795
C0015,C0136,0.9899494936611665
C0016,C0099,0.9860986626045957
C0016,C0011,0.9816160794855358
C0016,C0074,0.9805806756909201
C0017,C0064,0.9957493058201297
C0017,C0047,0.9850423240371176
C0017,C0075,0.9821855551210599
C0018,C0051,0.9638738627616781
C0018,C0035,0.962658645769032
C0018,C0064,0.9621288989915319
C0019,C0186,0.9922778767136679
C0019,C0070,0.9805806756909202
C0019,C0112,0.9647638212377322
C0020,C0120,1.0
C0020,C0130,1.0
C0020,C0069,0.9938837346736188
